评论ID,用户昵称,用户等级,总评分,景色评分,趣味评分,性价比评分,评论内容,发布时间,发布标签,有用数,回复数,收藏数,图片数,视频数,游玩时间,人均花费,IP属地,官方回复,官方回复时间,评论链接,语言
749060761,匿名用户,,5.0,5.0,5.0,5.0,好好好好好,2026-07-12 14:03:00,2026-07-12 发布点评,0,0,0,0,0,,,四川,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/749060761.html,zh-cn
748477472,YoYo_9C6C4F7X,铂金贵宾,5.0,5.0,5.0,5.0,很好，玩得快乐,2026-07-11 20:05:25,2026-07-11 发布点评,0,0,0,0,0,,,江西,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/748477472.html,zh-cn
748378590,Timi兀,钻石贵宾,5.0,5.0,5.0,5.0,可可爱爱‘的麋鹿🫎’,2026-07-11 16:01:28,2026-07-11 发布点评,0,0,0,0,0,,,山西,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/748378590.html,zh-cn
748276985,七校长呢,铂金贵宾,5.0,5.0,5.0,5.0,值得一去的地方,2026-07-11 12:31:40,2026-07-11 发布点评,0,0,0,0,0,,,江苏,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/748276985.html,zh-cn
748118050,YoYo_3X4Z9N6D,黄金贵宾,5.0,5.0,5.0,5.0,景区宠物友好 观光车小狗也可以乘坐,2026-07-11 08:04:48,2026-07-11 发布点评,0,0,0,0,0,,,河北,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/748118050.html,zh-cn
747995816,YoYo_0V4R9X7Z,铂金贵宾,5.0,5.0,5.0,5.0,麋鹿之乡，贪吃灵物。,2026-07-10 23:28:57,2026-07-10 发布点评,0,0,0,0,0,,,上海,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/747995816.html,zh-cn
747875136,匿名用户,钻石贵宾,5.0,5.0,5.0,5.0,值票价的中华麋鹿园，下次还会去玩,2026-07-10 18:46:24,2026-07-10 发布点评,0,0,0,0,0,,,上海,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/747875136.html,zh-cn
747874856,匿名用户,钻石贵宾,5.0,5.0,5.0,5.0,人与动物和谐相处，车游麋鹿园，可以喂食亦可拍照，非常𠕇意思。,2026-07-10 18:45:25,2026-07-10 发布点评,0,0,0,0,0,,,上海,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/747874856.html,zh-cn
747812570,YoYo_1F9Z3D2X,铂金贵宾,3.0,3.0,3.0,3.0,小鹿都在睡觉。,2026-07-10 16:11:47,2026-07-10 发布点评,0,0,0,0,0,,,江苏,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/747812570.html,zh-cn
747787706,YoYo_4D3C1H8S,铂金贵宾,5.0,5.0,5.0,5.0,不错的哦这个可以,2026-07-10 15:18:44,2026-07-10 发布点评,0,0,0,0,0,,,湖北,,,https://m.ctrip.com/webapp/you/comment/detail/17408/11/747787706.html,zh-cn
